mdp_seed,epsilon,delta_w,delta_w_lower,delta_w_upper,unrestricted_policy_value,restricted_policy_value,violation_count
1537984211,0.01,0.0,0.0,0.0,4.286701771296493,4.286701771296493,0
1537984211,0.02,0.0,0.0,0.0,4.283052866409855,4.283052866409855,0
1537984211,0.03,0.0,0.0,0.0,4.279370896787794,4.279370896787794,0
1537984211,0.04,0.0,0.0,0.0,4.2756554109584695,4.2756554109584695,0
1537984211,0.05,0.0,0.0,0.0,4.271905949193147,4.271905949193147,0
1537984211,0.06,0.0,0.0,0.0,4.268122043316596,4.268122043316596,0
1537984211,0.07,0.0,0.0,0.0,4.264303216512199,4.264303216512199,0
1537984211,0.08,0.0,0.0,0.0,4.2604489831216705,4.2604489831216705,0
1537984211,0.09,0.0,0.0,0.0,4.256558848439128,4.256558848439128,0
1537984211,0.1,0.0,0.0,0.0,4.252632308499459,4.252632308499459,0
1337446311,0.01,0.0,0.0,0.0,5.55221740952822,5.55221740952822,0
1337446311,0.02,0.0,0.0,0.0,5.548599821500005,5.548599821500005,0
1337446311,0.03,0.0,0.0,0.0,5.544983842404854,5.544983842404854,0
1337446311,0.04,0.0,0.0,0.0,5.541369471169643,5.541369471169643,0
1337446311,0.05,0.0,0.0,0.0,5.537756706722212,5.537756706722212,0
1337446311,0.06,0.0,0.0,0.0,5.534145547991323,5.534145547991323,0
1337446311,0.07,0.0,0.0,0.0,5.5305359939067245,5.5305359939067245,0
1337446311,0.08,0.0,0.0,0.0,5.52692804339909,5.52692804339909,0
1337446311,0.09,0.0,0.0,0.0,5.523321695400068,5.523321695400068,0
1337446311,0.1,0.0,0.0,0.0,5.5197169488422375,5.5197169488422375,0
519714379,0.01,0.0,0.0,0.0,1.6569326708353413,1.6569326708353413,0
519714379,0.02,0.0,0.0,0.0,1.656314459504333,1.656314459504333,0
519714379,0.03,0.0,0.0,0.0,1.6556949361143332,1.6556949361143332,0
519714379,0.04,0.0,0.0,0.0,1.655074096495591,1.655074096495591,0
519714379,0.05,0.0,0.0,0.0,1.654451936460668,1.654451936460668,0
519714379,0.06,0.0,0.0,0.0,1.6538284518043438,1.6538284518043438,0
519714379,0.07,0.0,0.0,0.0,1.6532036383035211,1.6532036383035211,0
519714379,0.08,0.0,0.0,0.0,1.652577491717134,1.652577491717134,0
519714379,0.09,0.0,0.0,0.0,1.6519500077860512,1.6519500077860512,0
519714379,0.1,0.0,0.0,0.0,1.651321182232972,1.651321182232972,0
1343758231,0.01,0.0,0.0,0.0,4.469183372203406,4.469183372203406,0
1343758231,0.02,0.0,0.0,0.0,4.4656944652287125,4.4656944652287125,0
1343758231,0.03,0.0,0.0,0.0,4.462195389249764,4.462195389249764,0
1343758231,0.04,0.0,0.0,0.0,4.4586861284972965,4.4586861284972965,0
1343758231,0.05,0.0,0.0,0.0,4.4551666670122145,4.4551666670122145,0
1343758231,0.06,0.0,0.0,0.0,4.451636988645762,4.451636988645762,0
1343758231,0.07,0.0,0.0,0.0,4.448097077059705,4.448097077059705,0
1343758231,0.08,0.0,0.0,0.0,4.44454691572645,4.44454691572645,0
1343758231,0.09,0.0,0.0,0.0,4.440986487929196,4.440986487929196,0
1343758231,0.1,0.0,0.0,0.0,4.437415776762066,4.437415776762066,0
431050766,0.01,0.0,0.0,0.0,5.245199679682151,5.245199679682151,0
431050766,0.02,0.0,0.0,0.0,5.245199679682151,5.245199679682151,0
431050766,0.03,0.0,0.0,0.0,5.245199679682151,5.245199679682151,0
431050766,0.04,0.0,0.0,0.0,5.245199679682151,5.245199679682151,0
431050766,0.05,0.0,0.0,0.0,5.245199679682151,5.245199679682151,0
431050766,0.06,0.0,0.0,0.0,5.245199679682151,5.245199679682151,0
431050766,0.07,0.0,0.0,0.0,5.245199679682151,5.245199679682151,0
431050766,0.08,0.0,0.0,0.0,5.245199679682151,5.245199679682151,0
431050766,0.09,0.0,0.0,0.0,5.245199679682151,5.245199679682151,0
431050766,0.1,0.0,0.0,0.0,5.245199679682151,5.245199679682151,0
2030239790,0.01,0.0,0.0,0.0,2.6587901477922924,2.6587901477922924,0
2030239790,0.02,0.0,0.0,0.0,2.6527846684329575,2.6527846684329575,0
2030239790,0.03,0.0,0.0,0.0,2.6467580415264638,2.6467580415264638,0
2030239790,0.04,0.0,0.0,0.0,2.6407101621618816,2.6407101621618816,0
2030239790,0.05,0.0,0.0,0.0,2.634640923595043,2.634640923595043,0
2030239790,0.06,0.0,0.0,0.0,2.628550217234829,2.628550217234829,0
2030239790,0.07,0.0005717470729185159,0.00010168556742584656,0.0010418085784116293,2.622446571447904,2.6218748243749856,77
2030239790,0.08,0.0,0.0,0.0,2.616344392579668,2.616344392579668,0
2030239790,0.09,0.000801186097707518,0.0003311245922139605,0.0012712476032010755,2.6102270671162584,2.609425881018551,75
2030239790,0.1,0.0,0.0,0.0,2.6040941589647346,2.6040941589647346,0
861037876,0.01,0.0,0.0,0.0,3.280162580828849,3.280162580828849,0
861037876,0.02,0.0,0.0,0.0,3.2768930980759965,3.2768930980759965,0
